港台,#genre#
吉林卫视,http://47.119.24.76:59093/947472500
青海卫视,http://47.119.24.76:59093/947472506
东南卫视,http://47.119.24.76:59093/849116810
海南卫视,http://47.119.24.76:59093/947472502
海峡卫视,http://47.119.24.76:59093/849119120
中国农林卫视,http://47.119.24.76:59093/956904896
兵团卫视,http://47.119.24.76:59093/956923145
宁夏卫视,http://47.119.24.76:59093/738910535
重庆卫视,http://47.119.24.76:59093/738910914
三沙卫视,http://47.119.24.76:59093/961023778
上海新闻综合,http://47.119.24.76:59093/651632657
上视东方影视,http://47.119.24.76:59093/617290047
上海第一财经,http://47.119.24.76:59093/608780988
南京新闻综合频道,http://47.119.24.76:59093/838109047
南京教科频道,http://47.119.24.76:59093/838153729
南京十八频道,http://47.119.24.76:59093/838151753
体育休闲频道,http://47.119.24.76:59093/626064707
江苏城市频道,http://47.119.24.76:59093/626064714
江苏国际,http://47.119.24.76:59093/626064674
江苏教育,http://47.119.24.76:59093/628008321
江苏影视频道,http://47.119.24.76:59093/626064697
江苏综艺频道,http://47.119.24.76:59093/626065193
公共新闻频道,http://47.119.24.76:59093/626064693
盐城新闻综合,http://47.119.24.76:59093/639731825
淮安新闻综合,http://47.119.24.76:59093/639731826
泰州新闻综合,http://47.119.24.76:59093/639731818
连云港新闻综合,http://47.119.24.76:59093/639731715
宿迁新闻综合,http://47.119.24.76:59093/639731832
徐州新闻综合,http://47.119.24.76:59093/639731747
优漫卡通频道,http://47.119.24.76:59093/626064703
江阴新闻综合,http://47.119.24.76:59093/955227979
南通新闻综合,http://47.119.24.76:59093/955227985
宜兴新闻综合,http://47.119.24.76:59093/955227996
溧水新闻综合,http://47.119.24.76:59093/639737327
陕西银龄频道,http://47.119.24.76:59093/956909362
陕西都市青春频道,http://47.119.24.76:59093/956909358
陕西秦腔频道,http://47.119.24.76:59093/956909303
陕西新闻资讯频道,http://47.119.24.76:59093/956909289
财富天下,http://47.119.24.76:59093/956923159
镇江新闻综合,http://47.119.24.76:59093/639731783
海南广播电视总台新闻频道,http://47.119.24.76:59093/962067517
海南广播电视总台自贸频道,http://47.119.24.76:59093/962045226
海南广播电视总台社会与法频道,http://47.119.24.76:59093/962045223
海南广播电视总台文旅频道,http://47.119.24.76:59093/962067526
海南广播电视总台少儿频道,http://47.119.24.76:59093/962067523
经典香港电影,http://47.119.24.76:59093/625703337
抗战经典影片,http://47.119.24.76:59093/617432318
新片放映厅,http://47.119.24.76:59093/619495952
CHC影迷电影,http://47.119.24.76:59093/952383261
CHC动作电影,http://47.119.24.76:59093/644368714
CHC家庭影院,http://47.119.24.76:59093/644368373
和美乡途轮播台,http://47.119.24.76:59093/713591450
南方影视,http://47.119.24.76:59093/614961829
中国航天“逆袭”之路,http://47.119.24.76:59093/713600957
中国天气,http://47.119.24.76:59093/959986621
CETV1,http://47.119.24.76:59093/923287154
CETV2,http://47.119.24.76:59093/923287211
CETV4,http://47.119.24.76:59093/923287339
山东教育,http://47.119.24.76:59093/609154353
熊猫频道01,http://47.119.24.76:59093/609158151
熊猫频道1,http://47.119.24.76:59093/608933610
熊猫频道2,http://47.119.24.76:59093/608933640
熊猫频道3,http://47.119.24.76:59093/608934619
熊猫频道4,http://47.119.24.76:59093/608934721
熊猫频道5,http://47.119.24.76:59093/608935104
熊猫频道6,http://47.119.24.76:59093/608935797
熊猫频道7,http://47.119.24.76:59093/609169286
熊猫频道8,http://47.119.24.76:59093/609169287
熊猫频道9,http://47.119.24.76:59093/609169226
熊猫频道10,http://47.119.24.76:59093/609169285
最强综艺趴,http://47.119.24.76:59093/629942228
嘉佳卡通,http://47.119.24.76:59093/614952364
经典动画大集合,http://47.119.24.76:59093/629942219
新动漫,http://47.119.24.76:59093/961930269
新动力量创一流,http://47.119.24.76:59093/713589837
中华特产,http://47.119.24.76:59093/959986618
环球旅游,http://47.119.24.76:59093/958475356
梨园频道,http://47.119.24.76:59093/961930369




国际,#genre#

Babes,http://88.212.7.11/live/test_basbes_hd_hevc/playlist.m3u8
Brazzers,http://88.212.7.11/live/test_brazzers_hd_hevc/playlist.m3u8
Extasy,http://88.212.7.11/live/test_extasy_hd_hevc/playlist.m3u8
Erox,http://88.212.7.11/live/test_erox_hd_hevc/playlist.m3u8
Dorcel,http://88.212.7.11/live/test_dorcel_hd_hevc/playlist.m3u8
Desire,http://88.212.7.11/live/test_desire_hd_hevc/playlist.m3u8  
Leo HD,http://88.212.7.11/live/test_leo_hd_hevc/playlist.m3u8
Reality Kings,http://88.212.7.11/live/test_realitykings_sd_hevc/playlist.m3u8
Eroxxx,http://88.212.7.11/live/test_eroxxx_hd_hevc/playlist.m3u8

花園,#genre#
移动网专用,1
惊艳,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
